IBRA - Carteira do Dia 24/06/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;129.507.288;0,209;
ABCB4;ABC BRASIL;PN      N2;70.580.422;0,041;
AERI3;AERIS;ON      NM;218.058.827;0,077;
AESB3;AES BRASIL;ON      NM;149.647.285;0,073;
ALSO3;ALIANSCSONAE;ON      NM;127.376.805;0,133;
AALR3;ALLIAR;ON      NM;46.716.473;0,018;
ALPA4;ALPARGATAS;PN      N1;168.770.200;0,282;
ALUP11;ALUPAR;UNT     N2;178.970.157;0,163;
ABEV3;AMBEV S/A;ON;4.358.542.894;2,659;
AMBP3;AMBIPAR;ON      NM;43.733.334;0,060;
ANIM3;ANIMA;ON      NM;288.432.555;0,135;
ARZZ3;AREZZO CO;ON      NM;45.095.471;0,143;
ASAI3;ASSAI;ON      NM;156.928.631;0,458;
AZUL4;AZUL;PN      N2;327.262.616;0,527;
BTOW3;B2W DIGITAL;ON      NM;201.802.882;0,467;
B3SA3;B3;ON      NM;6.119.434.194;3,531;
BMGB4;BANCO BMG;PN      N1;99.052.274;0,016;
BIDI4;BANCO INTER;PN      N2;100.239.024;0,082;
BIDI11;BANCO INTER;UNT     N2;453.631.743;1,102;
BPAN4;BANCO PAN;PN      N1;341.124.068;0,296;
BRSR6;BANRISUL;PNB     N1;202.531.540;0,095;
BBSE3;BBSEGURIDADE;ON      NM;671.584.841;0,563;
BKBR3;BK BRASIL;ON      NM;272.245.759;0,112;
BRML3;BR MALLS PAR;ON      NM;843.728.684;0,312;
BRPR3;BR PROPERT;ON      NM;198.812.616;0,063;
BBDC3;BRADESCO;ON      N1;1.253.093.907;0,980;
BBDC4;BRADESCO;PN      N1;4.261.649.634;3,907;
BRAP4;BRADESPAR;PN      N1;222.604.507;0,526;
BBAS3;BRASIL;ON      NM;1.283.197.221;1,473;
AGRO3;BRASILAGRO;ON      NM;51.771.532;0,054;
BRKM5;BRASKEM;PNA     N1;264.640.575;0,506;
BRFS3;BRF SA;ON      NM;811.759.800;0,786;
BPAC11;BTGP BANCO;UNT     N2;260.495.794;1,071;
CAML3;CAMIL;ON      NM;116.264.997;0,039;
CRFB3;CARREFOUR BR;ON  EJ  NM;391.758.726;0,283;
CCRO3;CCR SA;ON      NM;1.115.693.556;0,514;
CEAB3;CEA MODAS;ON      NM;106.394.635;0,053;
CMIG3;CEMIG;ON      N1;266.451.715;0,139;
CMIG4;CEMIG;PN      N1;1.081.211.185;0,466;
CESP6;CESP;PNB     N1;182.017.689;0,151;
HGTX3;CIA HERING;ON      NM;126.186.408;0,147;
CIEL3;CIELO;ON      NM;1.112.196.638;0,141;
COGN3;COGNA ON;ON      NM;1.847.994.874;0,297;
CSMG3;COPASA;ON  EJ  NM;188.444.559;0,105;
CPLE3;COPEL;ON      N1;71.640.156;0,014;
CPLE6;COPEL;PNB     N1;570.829.074;0,120;
CSAN3;COSAN;ON      NM;1.169.237.744;0,977;
CPFE3;CPFL ENERGIA;ON      NM;187.714.249;0,178;
CURY3;CURY S/A;ON      NM;104.545.454;0,037;
CVCB3;CVC BRASIL;ON      NM;200.884.562;0,200;
CYRE3;CYRELA REALT;ON      NM;281.154.098;0,222;
PNVL3;DIMED;ON      N2;68.859.355;0,049;
DIRR3;DIRECIONAL;ON      NM;81.360.368;0,041;
DTEX3;DURATEX;ON      NM;273.813.447;0,202;
ECOR3;ECORODOVIAS;ON      NM;172.602.770;0,073;
ELET3;ELETROBRAS;ON      N1;358.018.408;0,564;
ELET6;ELETROBRAS;PNB     N1;242.977.127;0,381;
EMBR3;EMBRAER;ON      NM;736.143.105;0,491;
ENAT3;ENAUTA PART;ON      NM;75.939.767;0,039;
ENBR3;ENERGIAS BR;ON      NM;231.489.471;0,146;
ENGI11;ENERGISA;UNT     N2;250.679.709;0,405;
ENEV3;ENEVA;ON      NM;1.258.511.620;0,741;
EGIE3;ENGIE BRASIL;ON      NM;254.792.279;0,348;
ENJU3;ENJOEI;ON      NM;167.521.497;0,061;
EQTL3;EQUATORIAL;ON      NM;1.010.286.085;0,836;
EVEN3;EVEN;ON  ED  NM;209.535.948;0,075;
EZTC3;EZTEC;ON      NM;95.756.217;0,104;
FESA4;FERBASA;PN      N1;40.145.300;0,058;
FLRY3;FLEURY;ON      NM;303.800.430;0,274;
GFSA3;GAFISA;ON      NM;118.208.091;0,018;
GGBR4;GERDAU;PN      N1;995.903.643;1,006;
GOAU4;GERDAU MET;PN      N1;693.699.918;0,324;
GOLL4;GOL;PN      N2;178.123.292;0,151;
GRND3;GRENDENE;ON      NM;268.371.180;0,088;
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,126;
NTCO3;GRUPO NATURA;ON      NM;841.433.075;1,612;
SBFG3;GRUPO SBF;ON      NM;88.709.474;0,113;
SOMA3;GRUPO SOMA;ON      NM;183.851.421;0,102;
GUAR3;GUARARAPES;ON;81.944.760;0,059;
HAPV3;HAPVIDA;ON      NM;1.265.256.490;0,672;
HBOR3;HELBOR;ON      NM;65.261.522;0,020;
HBSA3;HIDROVIAS;ON      NM;325.623.566;0,069;
HYPE3;HYPERA;ON      NM;410.147.968;0,506;
IGTA3;IGUATEMI;ON      NM;85.796.919;0,123;
PARD3;IHPARDINI;ON  EJ  NM;43.661.030;0,034;
MEAL3;IMC S/A;ON      NM;264.441.032;0,039;
ROMI3;INDS ROMI;ON  EJ  NM;37.272.660;0,032;
